"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1962","1962",71,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1967","1967",70.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1976","1976",72.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1981","1981",74.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1982","1982",74.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1983","1983",75.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1984","1984",75.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1985","1985",75.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1986","1986",76,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1987","1987",76.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1988","1988",76.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1989","1989",76.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1990","1990",76.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1991","1991",77.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1992","1992",77.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1993","1993",77.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1994","1994",77.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1995","1995",77.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1996","1996",78.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1997","1997",78.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1998","1998",78.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1999","1999",78.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2000","2000",79.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2001","2001",79.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2002","2002",79.9,,
