"HF","Financing scheme","HC","Function","HP","Provider","MEASURE","Measure","LOCATION","Country","TIME","Year","Value","Flag Codes","Flags"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1970","1970",968.116,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1971","1971",1010.34,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1972","1972",1077.016,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1973","1973",1160.894,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1974","1974",1255.338,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1975","1975",1583.249,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1976","1976",1703.393,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1977","1977",1769.085,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1978","1978",1858.553,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1979","1979",1952.923,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1980","1980",2007.86,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1981","1981",1709.473,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1982","1982",1727.029,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1983","1983",1732.642,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1984","1984",1743.721,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1985","1985",1811.867,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1986","1986",1901.259,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1987","1987",2034.801,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1988","1988",2096.17,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1989","1989",2220.363,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1990","1990",2709.38,"B","Break"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1991","1991",2802.374,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1992","1992",2935.349,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1993","1993",3103.495,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1994","1994",3314.695,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUT","Austria","1995","1995",3356.609,,
